Date,Cell #,Neuron Type,Anatomical Region,Animal ID,Animal Species,Sex,Animal Age (Years)
2021-06-10,1,Dopaminergic,Substantia Nigra,#1,Rhesus Macaque,F,9.8
2021-06-10,2,Dopaminergic,Substantia Nigra,#1,Rhesus Macaque,F,9.8
2021-09-27,3,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,4,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,5,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,6,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,7,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,8,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,9,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-28,10,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-28,11,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-11-03,12,Dopaminergic,Substantia Nigra,#3,Rhesus Macaque,F,11.5
2021-12-07,13,Dopaminergic,Substantia Nigra,#4,Rhesus Macaque,M,N.A.
2022-01-18,14,Dopaminergic,Substantia Nigra,#5,Rhesus Macaque,M,9.9
2022-04-20,15,Dopaminergic,Substantia Nigra,#6,Rhesus Macaque,M,N.A.
2021-06-10,16,Dopaminergic,Substantia Nigra,#1,Rhesus Macaque,F,9.8
2021-06-10,17,Dopaminergic,Substantia Nigra,#1,Rhesus Macaque,F,9.8
2021-06-10,18,Dopaminergic,Substantia Nigra,#1,Rhesus Macaque,F,9.8
2021-09-27,19,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,20,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,21,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,22,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,23,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,24,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,25,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,26,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,27,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,28,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,29,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,30,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,31,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,32,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,33,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-27,34,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-28,35,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-28,36,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-29,37,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-29,38,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-09-29,39,Dopaminergic,Substantia Nigra,#2,Rhesus Macaque,F,11.4
2021-11-04,40,Dopaminergic,Substantia Nigra,#3,Rhesus Macaque,F,11.5
2021-12-07,41,Dopaminergic,Substantia Nigra,#4,Rhesus Macaque,M,N.A.
2021-12-07,41,Dopaminergic,Substantia Nigra,#4,Rhesus Macaque,M,N.A.
